campaign_id,click_rate
2109,0.036914513
2110,0.17526616
2111,0.10700277
2112,0.07158588
2113,-0.0010319775
2114,0.039871622
2115,-0.008657805
2116,0.0249864
2117,0.032141004
2118,0.017936008
2119,0.023694262
2120,0.026087184
2121,0.03544634
2122,0.018597335
2123,-0.0012099487
2124,0.022684857
2125,-0.0036621452
2126,0.034740962
2127,0.015955314
2128,-0.005360533
2129,-0.0034289644
2130,0.097524494
2131,0.00984212
2132,-0.002894917
2133,0.005974118
2134,-0.00809071
2135,0.0016228582
2136,0.006472671
2137,0.023226155
2138,0.011978337
2139,0.029254492
2140,-0.0044061844
2141,0.013377424
2142,0.14555737
2143,0.006224347
2144,0.001928284
2145,0.011420069
2146,0.0020921621
2147,0.009849627
2148,0.015708981
2149,0.0044539603
2150,0.0039941194
2151,0.24784316
2152,-0.0025566742
2153,0.00535405
2154,0.014574253
2155,0.18125467
2156,0.0015502527
2157,-0.0017979352
2158,0.0057120207
2159,0.06268143
2160,0.0395705
2161,0.041436695
2162,0.22531192
2163,-0.0008483198
2164,0.09589723
2165,0.050524686
2166,0.014333325
2167,0.01490135
2168,0.029525902
2169,0.04880377
2170,0.060312632
2171,0.056220856
2172,0.042682398
2173,0.0105961105
2174,0.031696487
2175,0.027857853
2176,0.033489868
2177,0.07695017
2178,0.014087313
2179,0.014797372
2180,0.033546466
2181,0.08723492
2182,0.016103102
2183,0.093187176
2184,0.11468734
2185,0.044542067
2186,0.0322531
2187,0.052160546
2188,0.16354375
2189,0.018687962
2190,0.043266047
2191,0.06808882
2192,0.057898734
2193,0.018179834
2194,-0.0008786683
2195,0.0025207
2196,0.09873239
2197,0.112884
2198,-0.0008723077
2199,0.04999233
2200,0.04022548
2201,0.07133149
2202,0.046619464
2203,0.017267222
2204,0.06643147
2205,0.09545691
2206,0.13854368
2207,-0.00927031
2208,-0.013465904
2209,0.05636239
2210,0.009935282
2211,0.020097502
2212,0.022906298
2213,-0.0012875894
2214,0.07021051
2215,0.023934223
2216,0.017288497
2217,0.102305494
2218,0.014072101
2219,0.035078183
2220,0.04652842
2221,-0.0022605648
2222,0.011050689
2223,0.06319265
2224,0.05301652
2225,0.063920274
2226,0.11375147
2227,0.088260196
2228,0.0035134582
2229,0.12111507
2230,-0.0049104267
2231,0.27202788
2232,0.060143236
2233,0.32616457
2234,0.16305736
2235,0.024523819
2236,-0.012384488
2237,0.015697258
2238,-0.01853054
2239,0.3401214
2240,0.0042762733
2241,-0.00043775662
2242,0.0007098777
2243,0.030536395
2244,-0.011483482
2245,0.016040552
2246,-0.012583759
2247,-0.014543377
2248,-0.003257113
2249,0.037896425
2250,-0.0018813647
2251,-0.007245898
2252,-0.022764502
2253,-0.024766896
2254,0.0065053627
2255,0.0065053627
2256,0.029625308
2257,0.015967354
2258,0.011606746
2259,0.012218161
2260,-0.011081593
2261,-0.0036874725
2262,0.01668979
2263,-0.010439665
2264,0.010610703
2265,-0.0015042262
2266,0.01811244
2267,0.0002442192
2268,0.0816233
2269,-0.011355964
2270,-0.008195597
2271,0.006853399
2272,0.07348534
2273,0.03645549
2274,-0.0071565155
2275,-0.0135601675
2276,0.045276042
2277,0.07107223
2278,-0.0029620677
2279,0.07893584
2280,0.011482602
2281,0.0025193659
2282,-0.005343604
2283,0.07043973
2284,0.14785412
2285,0.0069786957
2286,-0.008918614
2287,0.02660306
2288,-0.011277655
2289,0.12128512
2290,0.009017321
2291,0.04899586
2292,-0.006725525
2293,-0.0036025834
2294,0.0112760775
2295,-0.012023792
2296,0.053790092
2297,-0.010301233
2298,0.003855534
2299,-0.0013314454
2300,0.017959325
2301,0.071643986
2302,0.0030328203
2303,0.00017797749
2304,0.01729787
2305,-0.0023327013
2306,-0.010065636
2307,0.047983743
2308,0.059811994
2309,-0.017524082
2310,0.03910675
2311,0.0043862653
2312,0.14246161
2313,-0.0090705585
2314,0.026630701
2315,0.034022234
2316,0.013949669
2317,0.05153226
2318,0.07713726
2319,0.039514568
2320,0.15096834
2321,0.011938626
2322,0.015195437
2323,0.020104697
2324,0.042926315
2325,0.010404096
2326,0.014736727
2327,0.017263075
2328,0.07014492
2329,0.0034094113
2330,0.005226033
2331,-0.0059712534
2332,0.06789437
2333,0.027625661
2334,0.011425896
2335,0.15215576
2336,-0.004583894
2337,0.054533236
2338,0.066513516
2339,-0.0063442863
2340,0.056294776
2341,-6.290036e-05
2342,0.019292127
2343,0.013754446
2344,0.018450417
2345,0.07123767
2346,0.49039826
2347,0.045176845
2348,0.04793428
2349,0.046836227
2350,0.008204011
2351,0.04400499
2352,0.01368469
2353,0.53527594
2354,0.015421087
2355,0.031979907
2356,0.03740782
2357,0.017290471
2358,0.11022965
2359,0.015050601
2360,0.008676505
2361,0.040657386
2362,0.009653768
2363,0.017892117
2364,0.019768255
2365,0.03315463
2366,0.04833576
2367,-0.005262656
2368,0.14815447
2369,0.26459423
2370,0.029269673
2371,0.07473752
2372,0.08043514
2373,0.043696985
2374,0.055485874
2375,0.09133802
2376,0.004970485
2377,0.14817376
2378,0.029027164
2379,0.002786273
2380,0.019729586
2381,0.121219754
2382,0.055609513
2383,0.015799278
2384,0.046564072
2385,0.009671852
2386,0.017529715
2387,0.12075446
2388,0.063867696
2389,0.09644431
2390,0.08421075
2391,0.10562419
2392,0.046673547
2393,0.12885456
2394,0.13190801
2395,0.044761017
2396,0.019774113
2397,0.2021488
2398,0.232991
2399,0.047710393
2400,0.050675336
2401,0.064532414
2402,0.049897037
2403,0.03798376
2404,0.08511854
2405,0.09561783
2406,0.05784084
2407,0.020532904
2408,0.06264035
2409,0.07691083
2410,0.028639026
2411,0.13446976
2412,0.11836641
2413,-0.008348975
2414,0.26216248
2415,-0.0040537952
2416,0.034727257
2417,0.010088306
2418,0.10747205
2419,0.015839942
2420,0.06299249
2421,0.05365852
2422,0.22245751
2423,0.0714116
2424,0.022480866
2425,0.05303716
2426,-0.013463381
2427,0.03570876
2428,0.033714037
2429,0.03988067
2430,0.04141711
2431,0.01828652
2432,0.06568636
2433,-0.011373296
2434,0.20130469
2435,-0.0013575811
2436,0.12182611
2437,0.08083062
2438,0.2442297
2439,0.03743303
2440,0.13859993
2441,0.07680284
2442,0.1523755
2443,0.086171485
2444,0.10089711
2445,0.14478071
2446,0.091314614
2447,0.11590671
2448,0.1654108
2449,0.175514
2450,0.022960933
2451,0.050694212
2452,0.029710675
2453,0.03706703
2454,0.045161538
2455,0.0149034085
2456,0.0432986
2457,0.020116108
2458,0.032391287
2459,0.055537127
2460,0.14477591
2461,0.014067268
2462,0.0672518
2463,0.19431281
2464,0.022732245
2465,0.04684411
2466,0.014243587
2467,0.035914984
2468,0.11643728
2469,0.05691219
2470,0.043218
2471,0.1451452
2472,0.029973475
2473,0.044695985
2474,0.048264805
2475,0.031710073
2476,0.010107582
2477,0.043817423
2478,0.025263663
2479,0.040720187
2480,0.023498572
2481,0.08300859
2482,0.017477868
2483,0.025674453
2484,0.006468391
2485,-0.009785834
2486,0.071377
2487,0.032391287
2488,0.051194217
2489,0.064098485
2490,0.034488894
2491,0.04334645
2492,0.033289384
2493,0.045648556
2494,0.040630613
2495,0.022450106
2496,0.024988284
2497,0.04061197
2498,0.12558213
2499,0.044161208
2500,0.04832963
2501,0.07084734
2502,0.04188668
2503,0.13450259
2504,0.050697844
2505,0.055547476
2506,0.043538805
2507,0.02506897
2508,0.014906729
2509,0.035697967
2510,0.020456143
2511,0.018573266
2512,0.03163406
2513,0.05734198
2514,0.0603477
2515,0.052356943
2516,0.053228498
2517,0.19106674
2518,0.042463124
2519,0.21023533
2520,0.08476099
2521,0.01924915
2522,0.03706909
2523,0.11228057
2524,0.03918691
2525,0.10558479
2526,0.085107364
2527,0.071071826
2528,0.06262354
2529,0.12978122
2530,0.20102517
2531,0.124527104
2532,0.07907431
2533,0.054569803
2534,0.038584687
2535,0.05541926
2536,-0.00012612906
2537,0.009201609
2538,0.14349815
2539,0.037684534
2540,0.034208555
2541,0.045275565
2542,0.025448866
2543,-0.00045734053
2544,0.0686951
2545,0.041099414
2546,-0.013628475
2547,0.040681984
2548,0.21968669
2549,0.17985274
2550,0.008445954
2551,0.039333645
2552,0.025610417
2553,0.07142971
2554,0.034107722
2555,0.12600467
2556,0.05731298
2557,0.048338883
2558,0.05036441
2559,0.03464806
2560,0.08080876
2561,0.033497423
2562,0.14374447
2563,0.035536353
2564,0.06931375
2565,0.034984704
2566,0.0036555822
2567,0.16431785
2568,0.16001368
2569,0.14863464
2570,0.054214906
2571,-0.009401092
2572,0.015391096
2573,0.0021545435
2574,0.03944862
2575,0.04239983
2576,0.030170683
2577,0.06406104
2578,0.023430042
2579,0.03099999
2580,0.03187744
2581,0.09301762
2582,0.06502977
2583,0.05155905
2584,0.0029332945
2585,0.042273723
2586,0.043908775
2587,-0.004795577
2588,0.008328228
2589,0.13877916
2590,0.061105687
2591,0.031709377
2592,0.062322125
2593,0.16255388
2594,0.114173464
2595,0.01910305
2596,0.07308739
2597,0.044804122
2598,-0.01411678
2599,0.16548704
2600,0.013917162
2601,0.04837476
2602,0.0055230516
2603,-0.0016355681
2604,0.0027505863
2605,0.09382255
2606,0.042750154
2607,0.020473562
2608,0.041996807
2609,0.16156086
2610,0.1960796
2611,0.010104889
2612,0.08978592
2613,0.025959402
2614,0.040297326
2615,0.04268601
2616,0.06434687
2617,0.05006984
2618,0.105706766
2619,0.19309877
2620,0.093143284
2621,0.057104595
2622,0.038876683
2623,0.015135718
2624,0.008112608
2625,0.016937211
2626,-0.013524481
2627,-0.0043778005
2628,0.049028475
2629,0.053578306
2630,0.04668937
2631,0.06175015
2632,0.032354143
2633,0.011275299
2634,0.021807684
2635,0.14744094
2636,0.033258453
2637,0.041124493
2638,0.08112504
2639,0.17717613
2640,0.15938702
2641,0.32531673
2642,0.0016963078
2643,0.23879425
2644,0.01637947
2645,0.34213653
2646,0.05027884
2647,0.0071343104
2648,0.0060335835
2649,0.33922926
2650,0.03096281
